fold,Dice,IoU,Jaccard,95HD,ASSD
0,0.3650107068598657,0.2470957066432638,0.2470957066432638,377.14944021653974,319.5721029536915
1,0.5428387105670718,0.41597712773690226,0.41597712773690226,330.2175312011201,286.0620985719506
2,0.4854343115601509,0.3613372030184271,0.3613372030184271,343.948305737521,296.3998077396814
3,0.4945905431167114,0.36242047883580747,0.36242047883580747,346.00389626497343,286.5832522002805
4,0.5154272343029604,0.38627648412694915,0.38627648412694915,295.3136575818652,246.20255600171313
