epoch,lr,epoch_seconds,elapsed_seconds,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_jaccard,val_pixel_accuracy
1,0.0001,30.516417700011516,30.516811999987112,2.8871267778532848,0.177184892427805,0.10506887828455976,2.682812282017299,0.23339237439158564,0.14963191882056553,0.14963191882056553,0.6126570928664434
2,0.0001,16.668535599979805,47.62512089998927,2.2066894386495863,0.36511866503605844,0.24776605080824876,2.2759044000080655,0.3787155299209584,0.25563939603434077,0.25563939603434077,0.6775075276692708
3,0.0001,19.938918800005922,68.08570429999963,1.8504295902592796,0.49696585429190054,0.35977724295904784,2.1735744731766835,0.4038513578369064,0.27606586233004865,0.27606586233004865,0.7028791155133929
4,0.0001,19.77096180000808,88.1373878000013,1.570255160331726,0.5994349430580663,0.4535596506359444,2.006370314529964,0.46622871514305103,0.32648065434832085,0.32648065434832085,0.7380621047247024
5,0.0001,20.165462800010573,108.5571207999892,1.39492067694664,0.6855537349417394,0.534120666090529,1.961916514805385,0.4824964232888066,0.34133943915764503,0.34133943915764503,0.7451764787946429
6,0.0001,19.703070599993225,128.6130087999918,1.2708096951246262,0.7252831851688606,0.5806804558145698,1.997773792062487,0.49550898782031555,0.35230085429301383,0.35230085429301383,0.7463418143136161
7,0.0001,19.42395279998891,148.34578129998408,1.147234978420394,0.7672022524548343,0.6314998551356089,1.9952512638909476,0.4904113608848432,0.3458679951473945,0.3458679951473945,0.7370298839750744
8,0.0001,19.562678100017365,167.91017469999497,1.0903034465653556,0.7776680910870872,0.6447305733437276,2.077344536781311,0.4635375782995014,0.3278665583523839,0.3278665583523839,0.7485892159598214
9,0.0001,19.855213200004073,187.7664766999951,1.02391290558236,0.8057339681702024,0.6812940126506853,1.9814142329352242,0.4840744036207034,0.3455670391541544,0.3455670391541544,0.7552202497209821
10,0.0001,19.98566690000007,207.75445589999435,0.9505085253289768,0.8205696311296038,0.7019945734684432,1.9407926968165807,0.5115697104727659,0.36987469571517806,0.36987469571517806,0.7640588669549851
11,0.0001,19.579336700000567,227.6562137999863,0.8730990216135979,0.8352371187518827,0.723761475238472,2.0301977566310336,0.4918004366049608,0.35459535848716367,0.35459535848716367,0.7693065824962798
12,0.0001,20.92973050000728,248.5872654999839,0.8545696437358856,0.8447738787325861,0.7368762626596331,2.0385901672499522,0.4927431822994972,0.3535933951838306,0.3535933951838306,0.7644262404668899
13,0.0001,19.518765900022117,268.1070593999757,0.8293834222214562,0.8506274834830578,0.744926693551545,2.0390206149646213,0.499300537591502,0.3616549458267001,0.3616549458267001,0.764727783203125
14,0.0001,19.045051399996737,287.15321779999067,0.7853544248001916,0.859886022730551,0.7586764209930733,2.0071094036102295,0.4876760972851547,0.3522042249750656,0.3522042249750656,0.7707230340866815
15,0.0001,18.73113369999919,305.88606019999133,0.7626579297440392,0.8675286877532655,0.7700821974390328,2.0028177414621626,0.5033978058878928,0.3644907185268218,0.3644907185268218,0.7752076648530506
16,5e-05,19.496335600008024,325.3834201999998,0.7366582155227661,0.8763494681405616,0.7836501148344618,2.0411229729652405,0.49939739621408835,0.3638253109866946,0.3638253109866946,0.7764195033482143
17,5e-05,18.807699400000274,344.1925132999895,0.6869334365640368,0.8872806606039209,0.8008267690431541,1.9546523690223694,0.5207202103471207,0.3827101148439723,0.3827101148439723,0.787577892485119
18,5e-05,19.465698799991515,363.9306377999892,0.6613480629665511,0.8923874316751947,0.808745744688523,2.0297461918422153,0.5046148076492288,0.36794208716729015,0.36794208716729015,0.7780683244977679
