fold,Dice,IoU,Jaccard,95HD,ASSD
0,0.3718979745475873,0.24880720036740656,0.24880720036740656,370.8592899694434,321.1187418396347
1,0.5651660798333782,0.42447853647677614,0.42447853647677614,274.11216617569767,229.11622162823235
2,0.5463840867297555,0.41367212963683003,0.41367212963683003,290.032259000918,246.54729850129348
3,0.5119856545168268,0.37514454133590797,0.37514454133590797,315.5093952358167,259.3840804787569
4,0.5304394495257302,0.40443122991926256,0.40443122991926256,295.7269988469091,244.4995375134562
