epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_jaccard,val_pixel_accuracy
1,0.0001,3.507474252155849,0.07671973789740179,0.04349420982044806,3.3049718141555786,0.09921754044535762,0.05759030330263573,0.05759030330263573,0.4455865769159226
2,0.0001,3.0198482956205095,0.15474507723353742,0.09620160564004454,3.102825266974313,0.1518088869624688,0.09228350979261801,0.09228350979261801,0.5383322579520089
3,0.0001,2.692695519753865,0.2613249324227042,0.17164879597075983,2.7201808180127824,0.2817958201203735,0.19186838257665442,0.19186838257665442,0.6788501557849702
4,0.0001,2.4447795919009616,0.33547223758113814,0.2340925240501339,2.6997850792748586,0.2737494706881521,0.18380592033444534,0.18380592033444534,0.6556490943545387
5,0.0001,2.200710799012865,0.3917744048655441,0.2894859335757055,2.594203608376639,0.28044230808543524,0.18777162979237685,0.18777162979237685,0.6715579078311011
6,0.0001,2.051509650690215,0.4196095453711567,0.3153663411179635,2.423247354371207,0.3369323361570137,0.23995283838799839,0.23995283838799839,0.7265497116815476
7,0.0001,1.8889759182929993,0.45480532469534024,0.35240233289890227,2.341306839670454,0.3519982558799504,0.24841962295561043,0.24841962295561043,0.7260201590401786
8,0.0001,1.8009531710829054,0.475901618205745,0.3705806720123791,2.233371445110866,0.38708227199273393,0.27380387526737077,0.27380387526737077,0.728607904343378
9,0.0001,1.6597002361501967,0.5224973285467602,0.4139436641229091,2.2353038447243825,0.37446672045037765,0.26622416721729514,0.26622416721729514,0.7269518171037946
10,0.0001,1.553942505802427,0.5572604493809606,0.44687243471854887,2.20238196849823,0.3899433888218241,0.27639678698356,0.27639678698356,0.7448136102585565
11,0.0001,1.497230508497783,0.5876593216694899,0.47569961096385477,2.0887424094336375,0.4332254260836695,0.31219001923348383,0.31219001923348383,0.7604221888950893
12,0.0001,1.390461123415402,0.6080139350241097,0.5002533438689684,2.127687965120588,0.42016091769140357,0.29678694761859864,0.29678694761859864,0.745222400483631
13,0.0001,1.305638846542154,0.6275259761569174,0.5220302472585737,2.1077387588364735,0.43229417877776805,0.3060628697794531,0.3060628697794531,0.7393078031994048
14,0.0001,1.25579051141228,0.6443261893528405,0.5342648357682244,2.0063024163246155,0.46395327695056926,0.334935887369303,0.334935887369303,0.7526717413039434
