epoch,lr,epoch_seconds,elapsed_seconds,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_jaccard,val_pixel_accuracy
1,0.0001,37.40799530000368,37.408362800008035,3.086051728044237,0.16822241305644037,0.10061227085742011,2.494596855981009,0.25907997255315657,0.1741114784645298,0.1741114784645298,0.6922511509486607
2,0.0001,14.110043399996357,51.903371399996104,2.2806392993245805,0.3549480251597895,0.2411194047102111,2.128056151526315,0.36874156056292556,0.25911960396172595,0.25911960396172595,0.7449637276785714
3,0.0001,18.24179159999767,70.66468260000693,1.8871496766805649,0.5049789067778674,0.36358238831144524,1.9863409825733729,0.4085130204854706,0.2918760657954635,0.2918760657954635,0.7687279110863096
4,0.0001,18.162699599997723,89.11760900000809,1.613607638648578,0.6179827420464529,0.46727385716297554,1.8250196405819483,0.48122006305639764,0.35168177936159417,0.35168177936159417,0.7939309256417411
5,0.0001,17.564974599998095,106.90833330000169,1.4533617347478867,0.6776421784078238,0.5264108775823915,1.915996015071869,0.4382481265876542,0.3165329522939165,0.3165329522939165,0.7802180698939732
6,0.0001,17.527314499995555,124.43689050000103,1.2993119529315404,0.7341829573093709,0.5905381620496738,1.85627247606005,0.4617274468242884,0.3330940505963359,0.3330940505963359,0.7893354143415179
7,0.0001,17.063096300000325,141.50080910000543,1.1723372638225555,0.768876950382578,0.6344444524408186,1.811004374708448,0.4810508680824314,0.34764163475585735,0.34764163475585735,0.7962687174479167
8,0.0001,16.74306449999858,158.24482220000937,1.0885883143969945,0.7926876598877871,0.6637774479133297,1.7482413053512573,0.49976464913132557,0.3661292122033049,0.3661292122033049,0.7987156459263393
9,0.0001,17.021414300004835,175.47705260000657,1.0114727531160628,0.812981302750562,0.6916328733573212,1.760855564049312,0.49347280717760533,0.3672020248546609,0.3672020248546609,0.8133185977027529
10,0.0001,17.209633999998914,192.6877300000051,0.9509116826312882,0.8242331795955166,0.7075283375347641,1.7648117542266846,0.5095849825172221,0.3769960162000245,0.3769960162000245,0.8074114118303571
11,0.0001,17.22710069999448,210.18087510000623,0.9162842471684728,0.8335564784908381,0.720806019462519,1.7781787599836076,0.4941828362106311,0.3678446971988718,0.3678446971988718,0.8161138625372024
12,0.0001,16.327905700003612,226.5104386000021,0.843420826963016,0.8515144512568715,0.7464777244195123,1.7725076505116053,0.5136415817915931,0.3791150456589045,0.3791150456589045,0.8042599632626488
13,0.0001,15.880887399995117,242.58806730000651,0.8156921288796833,0.8579534388009633,0.7561372044508599,1.773134478500911,0.5016924201294273,0.3746916521558528,0.3746916521558528,0.8133421398344494
14,0.0001,16.522321500000544,259.11137620000227,0.795527176133224,0.8653283516136754,0.7671715060341266,1.7937641143798828,0.512849075433517,0.38503609121503213,0.38503609121503213,0.819339134579613
15,0.0001,17.172282500003348,276.2849855000095,0.7717073155300957,0.8704089336697247,0.7744458840785069,1.7503683481897627,0.529156553082182,0.39433492746208015,0.39433492746208015,0.8187924339657738
16,0.0001,15.568274499994004,292.0565959000087,0.7356005279081208,0.8763616570701983,0.7840675091276278,1.7993576100894384,0.5185348821358586,0.38837253454575726,0.38837253454575726,0.8182997930617559
17,0.0001,16.970217299996875,309.02862680000544,0.7132308195744242,0.8826532725749571,0.7938266410541466,1.8066754341125488,0.5184079786591284,0.39037975833086713,0.39037975833086713,0.8215307326543899
18,0.0001,17.178679899996496,326.20849740000267,0.6871954639043126,0.8887627171831306,0.8033928014739912,1.750310982976641,0.5371611966218451,0.4065793591280069,0.4065793591280069,0.8255968366350447
19,0.0001,16.947844199996325,343.50153259999934,0.6731145850249699,0.8904645527520615,0.8057745486530729,1.8193734117916651,0.5239653464329544,0.3955415309970378,0.3955415309970378,0.8282813662574404
20,0.0001,17.428464199998416,360.93108950000897,0.6485657085265432,0.8968415181210363,0.8156951699174706,1.857472368649074,0.5272912314191802,0.39805439898498646,0.39805439898498646,0.8221852620442708
21,0.0001,16.584187100001145,377.5166129999998,0.6635790254388537,0.8937785826200776,0.8110297296101606,1.763741569859641,0.5399317162186943,0.4059063327768983,0.4059063327768983,0.8203518822079613
22,0.0001,16.318966799997725,394.0569201000035,0.6472814519490514,0.8956920554283008,0.8139969547932224,1.8362940549850464,0.5316192048296097,0.4013137350270781,0.4013137350270781,0.8255208333333334
