fold,Dice,IoU,Jaccard,95HD,ASSD
0,0.3603041177721273,0.24393005610035032,0.24393005610035032,375.80436160267516,321.8257964852743
1,0.45125895204325955,0.32593426639323503,0.32593426639323503,328.52801952536913,271.3071877729238
2,0.4375451924946561,0.3142588096872733,0.3142588096872733,348.63560650058656,298.32183090530475
3,0.42233978688074136,0.2943028918942956,0.2943028918942956,342.0792987326315,288.03491913140454
4,0.4681338277947623,0.3437425033420265,0.3437425033420265,288.80632308742963,237.5992941264374
